राम कल स्कूल गया था	Ryan went to school yesterday.
मैं कल स्कूल गयी थी	I went to school yesterday.
मैं कल स्कूल गयी थी	I went to school yesterday.
मैं कल स्कूल गयी थी	I went to school yesterday.
मैं कल स्कूल गयी थी।	I went to school yesterday.
मैं कल भी स्कूल जाऊगी	I will go to school tomorrow.
मैं कल स्कूल गयी थी।	I went to school yesterday.
मैं कल भी स्कूल जाऊगी ।	I will go to school tomorrow.
मैं कल स्कूल गयी थी।	I went to school yesterday.
मैं कल भी स्कूल जाऊगी ।	I will go to school tomorrow.
मैं मैं हम तुम कल	I am you tomorrow
न्म्ब्क्ज्व्ह्क्द्ज्फ्ग्म, न्ह्ज	Yippidy yi yippity yay.
मैं कल स्कूल गयी थी।	I went to school yesterday.
मैं कल भी स्कूल जाऊगी ।	I will go to school tomorrow.
झ्स्द्फ झ्फ ह्फ्सेह	Shuttup Shuttup Shuttup
झ्स्द्फ झ्फ ह्फ्सेह	Shuttup Shuttup Shuttup
एक	A one
आज मौसम बहुत सुंदर है	Today the weather is beautiful.
वह मेरा दोस्त है	He is my friend.
दोस्त	Friendly
Friend	Friendly
नहीं	not
दोस्त	Friendly
मै	I am
मै	I am
he	he
खुश	Happy is
मैं खुश	I am happy
हम	We are
हिंदी	Hinduist
I	I I
खुश	Happy is
खुश	Happy is
खुश	Happy is
Could not understand audio	Couldn't understand the audio
मुझे भूख लगी है	I am hungry.
I am happy	I am happy
Could not understand audio	Couldn't understand the audio
मुझे भूख लगी है	I am hungry.
Could not understand audio	Couldn't understand the audio
Could not understand audio	Couldn't understand the audio
नही जाना है घर	Not going home.
नही जाना है घर	Not going home.
नही जाना है घर	Not going home.
नही जाना है घर	Not going home.
नही	not
ना	No is
ना	No is
मैं बहुत खुश हू	I am very happy haha.
मैं बहुत खुश हू	I am very happy haha.
मैं बहुत खुश हू	I am very happy haha.
हाँ	yeah
हाँ	yeah
बहुत अच्छा	very good
मुझे बहुत अच्छा लगा	I liked very well.
मैं मुझे बहुत अच्छा लगा	I liked very well.
मैं मुझे	I am me
I	I I
स्वागत है आपका	Welcome to you.
नमस्कार, स्वागत है आपका	Hi, welcome to you.
मुझे भूख लगी है	I am hungry.
आज मेरे दोस्त को बाजार जाना है	My husband is going to the market today.
आज मेरे दोस्त को बाजार जाना है	My husband is going to the market today.
आज मेरे मित्र को बाजार जाना है	My husband is going to the market today.
आज मेरे भाई को बाजार जाना है	My husband is going to the market today.
आज मुझे शाम को बाजार जाना है	I have to go to the market tonight.
कल शाम को	tomorrow evening
कल शाम को	tomorrow evening
Could not understand audio	Couldn't understand the audio
Could not understand audio	Couldn't understand the audio
आज मुझे शाम को बाजार जाना है	I have to go to the market tonight.
Could not understand audio	Couldn't understand the audio
1	1st
एक	A one
नही	not
ना	No is
बहुत गर्मी है हमें बाहर जाना चाहिए	It’s hot, we have to go out.
Could not understand audio	Couldn't understand the audio
Could not understand audio	Couldn't understand the audio
